Categorie;Domaine
Other;Other
Tank;Land
Armored Fighting Vehicle;Land
Armored Utility Vehicle;Land
Self-propelled Artillery;Land
Towed Artillery;Land
Small Wheeled Utility Vehicle;Land
Large Wheeled Utility Vehicle;Land
Small Tracked Utility Vehicle;Land
Large Tracked Utility Vehicle;Land
Mortar;Land
Mine plow;Land
Mine rake;Land
Mine roller;Land
Cargo trailer;Land
Fuel trailer;Land
Generator trailer;Land
Water trailer;Land
Engineer equipment;Land
Heavy equipment transport trailer;Land
Maintenance equipment trailer;Land
Civilian Vehicle;Land
Command, Control, Communications, and Intelligence System;Land
Operations Facility;Land
Intelligence Facility;Land
Surveillance Facility;Land
Communications Facility;Land
Command Facility;Land
Control Facility;Land
Fire Control Facility;Land
Missile Defense Facility;Land
Unmanned;Air
Trainer;Air
Surveillance / C2 (Airborne Early Warnin;Air
Reconnaissance;Air
Non-Combatant Commercial Aircraft;Air
Light/Patrol Craft;Surface
Fighter/Air Defense;Air
Electronic Warfare (EW);Air
Carrier;Surface
Cargo/Tanker;Air
Cargo helicopter;Air
Bomber;Air
Attack/Strike;Air
Attack helicopter;Air
Antisubmarine/patrol/observation;Air
Air Defense / Missile Defense Unit Equip;Land
Frigate;Surface
Guided;Air
