Name          (SISO);Slug;Page Description;Keywords;Status;;WEB Prd id;Polygon;Texture format;Texture resolution;Original Image;Category;File format
Koni  Class;Koni_Class;Koni class frigate;Koni class frigate, Project 1159, Frigate, Koni Class;1;aaaaaaaaa;;12000;rgb;2048;Koni_Class_01.jpg;Frigate;max, flight
M88A2;M88A2;;;1;bbbbbbbbb;;12000;rgb;2048;M88A2_01.jpg;Armored Utility Vehicle;max, flight
Frog-7 rocket launcher;Frog-7B;Frog-7 rocket launcher;Frog-7B, Laith-90, rocket launcher, Frog-7A, Frog 7;1;ccccccccc;;12000;rgb;2048;Frog-7B_01.jpg;Self-propelled Artillery;max, flight
AT 105 Saxon;Saxon;;;1;ddddddddd;;12000;rgb;2048;Saxon_01.jpg;Armored Fighting Vehicle;max, flight
BGM-109 Tomahawk;BGM-109;Tomahawk Land Attack Missile (TLAM);BGM, 109 RGM/UGM AGM 109H/L Tomahawk;1;ed;;12000;rgb;2048;BGM-109_01.jpg;Guided;max, flight
;23B;;;1;ffffffffff;;12000;rgb;2048;23B_01.jpg;;max, flight
M109  Howitzer;M109A6;;M109 howitzer, M109, M109a6;1;gggggggggg;;12000;rgb;2048;M109A6_01.jpg;Self-propelled artillery;max, flight
Technical-029  ZU-23-2;Technical-029_ZU-23-2;;;1;hhhhhhhhhhh;;12000;rgb;2048;Technical-029_ZU-23-2_01.jpg;Armored Utility Vehicle;max, flight
truck-028  M2;truck-028_M2;;;1;iiiiiiiiiiiii;;12000;rgb;2048;truck-028_M2_01.jpg;Civilian Vehicle;max, flight
truck-027  UB-16;truck-027_UB-16;;;1;jjjjjjjjjjjjjj;;12000;rgb;2048;truck-027_UB-16_01.jpg;;max, flight
;Technical-023_ZU-23-1;;;1;kkkkkkkkkkk;;12000;rgb;2048;Technical-023_ZU-23-1_01.jpg;;max, flight
;Technical-018_ZPU2;;;1; byrt;;12000;rgb;2048;Technical-018_ZPU2_01.jpg;;max, flight
;Technical-018_RPK;;;1; gh;;12000;rgb;2048;Technical-018_RPK_01.jpg;;max, flight
;Technical-017_ZU-23-2;;;1;;;12000;rgb;2048;Technical-017_ZU-23-2_01.jpg;Civilian Vehicle;max, flight
;Technical-014_ZU-23-2;;;1;;;12000;rgb;2048;Technical-014_ZU-23-2_01.jpg;Civilian Vehicle;max, flight
;Technical-013_ZPU-4;;;1;rt6e;;12000;rgb;2048;Technical-013_ZPU-4_01.jpg;;max, flight
;Technical-012_ZU-23-2;;;1;reueu;;12000;rgb;2048;Technical-012_ZU-23-2_01.jpg;Civilian Vehicle;max, flight
Boeing  RC-135;RC135;Boeing RC-135;Boeing, RC-135;1;;199;12000;rgb;2048;RC135_01.jpg;Reconnaissance;max, flight
RQ  Predator  Medium  Altitude  Endurance  UAV;RQ-1A_Predator;RQ Predator Medium Altitude Endurance UAV;RQ, Predator, Medium, Altitude, Endurance, UAV;1;;827;12000;rgb;2048;RQ-1A_Predator_01.jpg;Unmanned;max, flight
Lockheed  S-3  Viking;S-3B_viking;Lockheed S-3 Viking;Lockheed, S-3, Viking;1;;205;12000;rgb;2048;S-3B_viking_01.jpg;Antisubmarine/patrol/observation;max, flight
Boeing  ScanEagle;ScanEagle;Boeing ScanEagle;Boeing, ScanEagle;1;;251;12000;rgb;2048;ScanEagle_01.jpg;Unmanned;max, flight
Silver  Fox;Silver_Fox;Silver Fox;Silver, Fox;1;;752;12000;rgb;2048;Silver_Fox_01.jpg;Unmanned;max, flight
Skylark;Skylark;Skylark;Skylark;1;;;12000;rgb;2048;Skylark_01.jpg;Unmanned;max, flight
Su-24  Fencer;SU-24;Su-24 Fencer;Su-24, Fencer;1;;844;12000;rgb;2048;SU-24_01.jpg;Attack/Strike;max, flight
Su-27  Flanker;Su-27;Su-27 Flanker;Su-27, Flanker;1;;672;12000;rgb;2048;Su-27_01.jpg;Fighter/Air Defense;max, flight
Su-30MKI;Su-30MKI;Su-30MKI;Su-30MKI;1;;826;12000;rgb;2048;Su-30MKI_01.jpg;Fighter/Air Defense;max, flight
Su-30MKK;Su-30MKK;Su-30MKK;Su-30MKK;1;;673;12000;rgb;2048;Su-30MKK_01.jpg;Fighter/Air Defense;max, flight
Su-37  multirole  fighter;SU_37;Su-37 multirole fighter;Su-37, multirole, fighter;1;;729;12000;rgb;2048;SU_37_01.jpg;Attack/Strike;max, flight
Goshawk  T-45A;T-45a_Goshawk;Goshawk T-45A;Goshawk, T-45A;1;;220;12000;rgb;2048;T-45a_Goshawk_01.jpg;Trainer;max, flight
Lockheed  U-2;U-2_Spy_plane;Lockheed U-2;Lockheed, U-2;1;;237;12000;rgb;2048;U-2_Spy_plane_01.jpg;Reconnaissance;max, flight
Bell  Boeing  V-22  Osprey;V-22;Bell Boeing V-22 Osprey;Bell, Boeing, V-22, Osprey;1;;706;12000;rgb;2048;V-22_01.jpg;Cargo/Tanker;max, flight
Warrior  ERMP;Warrior_ERMP;Warrior ERMP;Warrior, ERMP;1;;214;12000;rgb;2048;Warrior_ERMP_01.jpg;Unmanned;max, flight
Watchkeeper;Watchkeeper;Watchkeeper;Watchkeeper;1;;278;12000;rgb;2048;Watchkeeper_01.jpg;Unmanned;max, flight
2S12  120a-mm;2S12;2S12 120-mm;2S12, 120mm Sani;1;;38;12000;rgb;2048;2S12_01.jpg;Mortar;max, flight
S-60  57mm  AA  Gun/57 mm AZP S-60;57MM_S60;S-60 57mm AA Gun;57, mm AZP     S-60 ZSU-57-2;1;;207;12000;rgb;2048;57MM_S60_01.jpg;Air Defense / Missile Defense Unit Equip;max, flight
155mm  Gun-Howitzer;G5_155mm;155mm Gun-Howitzer;155mm, 155 Gun-Howitzer, G5-2000, G5 Mk I, G5 Mk II, G5 Mk III;1;;110;12000;rgb;2048;G5_155mm_01.jpg;Towed Artillery;max, flight
KPV  TOWED;KPV_TOWED;KPV TOWED;KPV, KPV TOWED;1;;750;12000;rgb;2048;KPV_TOWED_01.jpg;Air Defense / Missile Defense Unit Equip;max, flight
M-220  Tow;M-220_Tow;M-220 Tow;M-220, Tow;1;;;12000;rgb;2048;M-220_Tow_01.jpg;Towed Artillery;max, flight
M115  8-inch  Howitzer;M115_HOW;M115 8-inch Howitzer;M115, 8-inch, Howitzer;1;;154;12000;rgb;2048;M115_HOW_01.jpg;Towed Artillery;max, flight
M901  40-mm  machine  gun;PAC3_M901;M901 40-mm machine gun;M901, 40-mm, machine, gun;1;;168;12000;rgb;2048;PAC3_M901_01.jpg;;max, flight
A320  AirBus;A320;A320 AirBus;A320, AirBus MRTT;1;;677;12000;rgb;2048;A320_01.jpg;Non-Combatant Commercial Aircraft;max, flight
An-2-3  Colt;AN-2;An-2-3 Colt;An-2, An-3 Colt Antonov Annushka;1;;678;12000;rgb;2048;AN-2_01.jpg;Cargo/Tanker;max, flight
A-10 Thunderbolt;A-10;A-10 Thunderbolt;Fairchild, Republic A-10 Thunderbolt II;1;;742;12000;rgb;2048;A-10_01.jpg;Attack/Strike;max, flight
