"Name          (SISO)";"Slug";"Page Description";"Keywords";"Status";"DESCRIPTION";"WEB Prd id";"Polygon";"Texture format";"Texture resolution";"Original Image";"Category";"File format"
"Koni  Class";"Koni_Class";"Koni class frigate";"Koni class, Koni, Riga class, frigate class, frigate, Koni frigate, Project 1159";1;"Koni class is the Nato reporting name for a anti-submarine warfare frigate built by the Soviet Union. They were known in the Soviet Union as Project 1159. 14 were built in Zelenodolsk shipyard between 1975 and 1988. Originally intended to replace the older Riga class frigates, but were chosen as a design for export to various friendly navies.";;12000;"rgb";2048;"Koni_Class_01.jpg";"Frigate";"max, flight"
"M88A2";"M88A2";;;1;"The M88 is one of the largest all weather armored recovery vehicles currently in use by U.S. Armed Forces and Israel Defense Force, almost 10 tons heavier than the M1 Abrams main battle tank. There are currently three variants, the M88, M88A1 and M88A2 Hercules. The M88 series has seen action most noticeably in Vietnam, the Gulf War, Operation Iraqi Freedom, and to a lesser extent during the Kosovo War where they were deployed to help recover heavy armored vehicles of the Allied ground units.";;12000;"rgb";2048;"M88A2_01.jpg";"Armored Utility Vehicle";"max, flight"
"Frog-7 rocket launcher";"Frog-7B";"Frog-7 rocket launcher";"Frog-7B, Laith-90, rocket launcher, Frog-7A, Frog 7";1;"The FROG-7 is the final version of the FROG family of unguided, spin-stabilized, short-range Soviet artillery rockets. The name “FROG” comes from then NATO designation of Free-Rocket-Over-Ground. The FROG-7 missiles were mounted on the ZIL-135 8x8 army truck. The FROG-7 (A or B model) has a range up to 70 km and a CEP (circular error probable) between 500m and 700m. The road mobile rocket has a 550 kg warhead and is capable of delivering high explosive, nuclear, or chemical warheads";;12000;"rgb";2048;"Frog-7B_01.jpg";"Self-propelled Artillery";"max, flight"
"AT 105 Saxon";"Saxon";;;1;"The Saxon was intended to act as a cheap but efficient ""battle-taxi"" for units that would have to make long journeys from the UK to reinforce the BAOR. As a lightly armoured wheeled vehicle it is much faster - especially on roads - and easier to maintain than a tracked vehicle. Indeed, it shares many parts with commercial trucks, reducing the operating cost.";;12000;"rgb";2048;"Saxon_01.jpg";"Armored Fighting Vehicle";"max, flight"
"BGM-109 Tomahawk";"BGM-109";"Tomahawk Land Attack Missile (TLAM)";"BGM 109, BGM, BGM Tomahawk, Tomahawk";1;"The Tomahawk Land Attack Missile (TLAM) is a long-range, all-weather, subsonic cruise missile. Introduced by General Dynamics in the 1970s, it was designed as a medium- to long-range, low-altitude missile that could be launched from a submerged submarine. It has been improved several times and, by way of corporate divestitures and acquisitions, is now made by Raytheon. Some Tomahawks were also manufactured by McDonnell Douglas.";;12000;"rgb";2048;"BGM-109_01.jpg";"Guided";"max, flight"
;"23B";;;1;;;12000;"rgb";2048;"23B_01.jpg";;"max, flight"
"M109  Howitzer";"M109A6";"M109  Howitzer";"M109 howitzer, Paladin,  M109, M109a6, M109 Vehicle";1;"The M109 is an American-made self-propelled 155 mm howitzer, first introduced in the early 1960s. It was upgraded a number of times to today's M109A6 Paladin. The M109 family is the most common Western indirect-fire support weapon of maneuver brigades of armored and mechanized infantry divisions.";;12000;"rgb";2048;"M109A6_01.jpg";"Self-propelled artillery";"max, flight"
"Technical-029  ZU-23-2";"Technical-029_ZU-23-2";;;1;"0The IAV Stryker is a family of eight-wheeled all-wheel-drive armored combat vehicles produced by General Dynamics Land";;12000;"rgb";2048;"Technical-029_ZU-23-2_01.jpg";"Armored Utility Vehicle";"max, flight"
"truck-028  M2";"truck-028_M2";;;1;0;;12000;"rgb";2048;"truck-028_M2_01.jpg";"Civilian Vehicle";"max, flight"
"truck-027  UB-16";"truck-027_UB-16";;;1;;;12000;"rgb";2048;"truck-027_UB-16_01.jpg";;"max, flight"
;"Technical-023_ZU-23-1";;;1;;;12000;"rgb";2048;"Technical-023_ZU-23-1_01.jpg";;"max, flight"
;"Technical-018_ZPU2";;;1;;;12000;"rgb";2048;"Technical-018_ZPU2_01.jpg";;"max, flight"
;"Technical-018_RPK";;;1;;;12000;"rgb";2048;"Technical-018_RPK_01.jpg";;"max, flight"
;"Technical-017_ZU-23-2";;;1;;;12000;"rgb";2048;"Technical-017_ZU-23-2_01.jpg";"Civilian Vehicle";"max, flight"
;"Technical-014_ZU-23-2";;;1;;;12000;"rgb";2048;"Technical-014_ZU-23-2_01.jpg";"Civilian Vehicle";"max, flight"
