Slug;Similar
Zil;ZILH131
TYPE63_ROCKET;Type_63_MRL
Type_63_MRL;TYPE63_ROCKET
truck-028_M2;Technical-020_M2
Technical-029_ZU-23-2;Technical-017_ZU-23-2
Technical-020_M2;truck-028_M2
Technical-018_ZPU2;Technical-013_ZPU-4
Technical-018_RPK;Technical-016_RPK
Technical-017_ZU-23-2;Technical-029_ZU-23-2
Technical-016_RPK;Technical-018_RPK
Technical-014_ZU-23-2;Technical-017_ZU-23-2
Technical-013_ZPU-4;Technical-018_ZPU2
Technical-011_M2;Technical-020_M2, truck-028_M2
Technical-009_ZU-23-2;Technical-029_ZU-23-2
Technical-005_DHSK;Technical_019_DHSK
Technical_019_DHSK;Technical-005_DHSK
Su-30MKK;Su-30MKI
Su-30MKI;Su-30MKK
RG-33;Caiman,
RC135;U-2_Spy_plane, C-130, KC-135,
MULE_Transport;MULE_Mine_Clearing, MULE_Mine_Clearing
MULE_Mine_Clearing;MULE_Armed_Robotic_Vehicule_ARVA-L,  MULE_Transport
MULE_Armed_Robotic_Vehicule_ARVA-L;MULE_Mine_Clearing, MULE_Transport
Mortar_2S12;GAZ-66
Mig-25;F-15E, F-14A
MI-28_Havoc;AH-64D,
Meerkat;HUSKY, IVMMD_F-MDT,IVMMD_S-MDT, IVMMD_T-MDT
L-159;BAe_Hawk_200
KE-3A;E3A
IVMMD_T-MDT;IVMMD_F-MDT, IVMMD_S-MDT, IVMMD_T-MDT,
IVMMD_S-MDT;IVMMD_F-MDT, IVMMD_S-MDT, IVMMD_T-MDT,
IVMMD_F-MDT;IVMMD_F-MDT, IVMMD_S-MDT, IVMMD_T-MDT,
Husky;Meerkat, IVMMD_F-MDT, IVMMD_S-MDT, IVMMD_T-MDT,_x000d_
Cougar_6X6
HAWK;T-45a_Goshawk
Cheetah;Cougar_6X6,
BTR-80;2S9, BMD-3
BMD-3;2S9, BTR-80
2S9;BTR-80, BMD-3
